"","userid","id_sede","abilitato"
"255","cpn5038",1,0
"256","cpn5039",1,0
"257","cpn5040",1,0
"258","cpn0208",1,0
"259","kpe0080",1,1
"260","cpn5041",1,0
"261","kpe0081",1,0
"262","cpn5050",1,0
"263","cud0236",2,1
"264","cud0103",2,1
"265","cud0085",2,1
"266","cud0080",2,1
"267","cud0075",2,1
"268","cud0071",2,1
"269","cud0159",2,1
"270","cud0330",2,1
"271","cud0324",2,1
"272","eud0207",1,0
"273","cpn0376",1,1
"274","cud0375",2,1
"275","cud9131",2,1
"276","cud9107",2,1
"277","eud0367",2,1
"278","cpn9999",1,0
